portal,job_uuid,job_name,subject_uuid,external_id,first_name,last_name,parent_name,phone_number,phone_number_2,email,email_2,country,group,buyer,access_code,url,custom_gallery_url,sms_marketing_consent,sms_marketing_timestamp,sms_transactional_consent,sms_transactional_timestamp,activity_uuid,activity_name,registered_user,registered_user_email,registered_user_uuid,resolution_strategy
nowandforeverphoto,job2,Job job2,subject_job1_1_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job1_1_1,https://nowandforeverphoto.shop/gallery/subject_job1_1_1,,SUBSCRIBE,2025-10-31T22:25:19.351755,SUBSCRIBE,2025-10-31T22:25:19.351760,activity-job1_1_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job2,Job job2,subject_job1_2_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job1_2_1,https://nowandforeverphoto.shop/gallery/subject_job1_2_1,,SUBSCRIBE,2025-10-31T22:25:19.351781,SUBSCRIBE,2025-10-31T22:25:19.351782,activity-job1_2_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job2,Job job2,subject_job1_3_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job1_3_1,https://nowandforeverphoto.shop/gallery/subject_job1_3_1,,SUBSCRIBE,2025-10-31T22:25:19.351791,SUBSCRIBE,2025-10-31T22:25:19.351791,activity-job1_3_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job2,Job job2,subject_job1_4_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job1_4_1,https://nowandforeverphoto.shop/gallery/subject_job1_4_1,,SUBSCRIBE,2025-10-31T22:25:19.351797,SUBSCRIBE,2025-10-31T22:25:19.351798,activity-job1_4_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job2,Job job2,subject_job2_1_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job2_1_1,https://nowandforeverphoto.shop/gallery/subject_job2_1_1,,SUBSCRIBE,2025-10-31T22:25:19.351804,SUBSCRIBE,2025-10-31T22:25:19.351804,activity-job2_1_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job2,Job job2,subject_job2_2_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job2_2_1,https://nowandforeverphoto.shop/gallery/subject_job2_2_1,,SUBSCRIBE,2025-10-31T22:25:19.351813,SUBSCRIBE,2025-10-31T22:25:19.351814,activity-job2_2_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job2,Job job2,subject_job2_3_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job2_3_1,https://nowandforeverphoto.shop/gallery/subject_job2_3_1,,SUBSCRIBE,2025-10-31T22:25:19.351819,SUBSCRIBE,2025-10-31T22:25:19.351820,activity-job2_3_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job2,Job job2,subject_job2_4_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job2_4_1,https://nowandforeverphoto.shop/gallery/subject_job2_4_1,,SUBSCRIBE,2025-10-31T22:25:19.351824,SUBSCRIBE,2025-10-31T22:25:19.351825,activity-job2_4_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job1,Job job1,subject_job1_1_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job1_1_1,https://nowandforeverphoto.shop/gallery/subject_job1_1_1,,SUBSCRIBE,2025-10-31T22:25:19.351829,SUBSCRIBE,2025-10-31T22:25:19.351830,activity-job1_1_1,Activity for Subject 1,No,,,netlife-api-integration
nowandforeverphoto,job1,Job job1,subject_job1_2_1,,Subject,1,,+1 (000) 000-0001,,test1@example.com,,USA,,No,access-job1_2_1,https://nowandforeverphoto.shop/gallery/subject_job1_2_1,,SUBSCRIBE,2025-10-31T22:25:19.351834,SUBSCRIBE,2025-10-31T22:25:19.351835,activity-job1_2_1,Activity for Subject 1,No,,,netlife-api-integration
